,Name,RA(deg)_c,Dec(deg)_c,E(B-V)_c,FGHz (mJy)_c,Nimages_c,size(arccsec)_c,sigma (km/s)_c,id_c,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names
121,SL2S J022546-073739,,,,,,,,,SL2S,2011-09-08,GRP-GAL,A,z_lens_spec communicated by Karun Tanjavur HIA/CFHT,0.0,5.8,½ image separation,,,36.442207,-7.627366499999999,SA50
122,SDSS J0246-0825,,,,,,,,,SQLS,2005-11-01,GAL-QSO,A,"Doubly  imaged system with an ""anomalous"" flux ratio. A second mass along the line of sight is needed to reproduce the flux ratio. Narrow BAL feature reported in Trump+2006.",2.0,,SIE model,,,41.64207561,-8.42670704,SDSS J024634.09-082536.1
123,SDSS J0252+0039,,,,,,,,,SLACS,2008-08,GAL-GAL,A,,3.0,1.04,SIE model,172.0,11.0,43.18838,0.6662100000000001,
124,SDSS J0330-0020,,,,,,,,,SLACS,2008-08,GAL-GAL,A,,2.0,1.1,SIE model,242.0,30.0,52.55052,-0.34775,
125,J033238-275653,,,,,,,,,Serendipitous,2003-12-19,GAL-GAL,A,Re-discovered in the GEMS survey,2.0,1.2,SIE model,,,53.15920799999999,-27.948110999999997,15422
126,MG0414+0534,,,,,,,,,Serendipitous,1989-01-01,GAL-QSO,A,"We  observed the quadruple gravitationally lensed image of MG J0414+0534 on  23 November 1997 with a global VLBI array at 8.4 GHz. We report wide-field imaging results of its four components at submilliarcsecond resolution, displaying complex core-like and jet-like extended structures. A simple model combining a singular isothermal ellipsoid to represent the main lens galaxy, external shear, and a singular isothermal sphere to represent an additional, nearby object accounts well for the core positions and flux densities of the VLBI images. This model predicts delays between the different lensed images of several weeks.",4.0,2.04,SIE model,,,63.65416999999999,5.57897,
127,HE0435-1223,,,,,,,,,HE survey,2002-07-01,GAL-QSO,A,,4.0,,,,,69.5615,-12.28722,
128,1E 0657-56,,,,,,,,,,1995-05-01,XRAY-CLUST,A,"The  Bullet Cluster is one of the hottest, most X-ray luminous clusters known, with numerous multiply-imaged background sources, and a giant arc  on the NW side of the main CD (with measured background source redshift). Multicolor HST-ACS (BVI-bands), Magellan (BVR-bands) and VLT (I-band) imaging is available.",0.0,,,,,104.65791999999999,-55.95,Bullet Cluster
129,SDSS J0737+3216,,,,,,,,,SLACS,2006-02,GAL-GAL,A,Magellan Gemini IFU Observations: Clear coincidence of IFU line emission and HST lensed features.,3.0,1.0,SIE model,301.0,16.0,114.36855,32.27183,
130,HST J073736.40+321540.3,,,,,,,,,SLACSextra,2009-05-01,GAL-GAL,A,"Discovered  by its close proximity (separation of 107.9″) to the SLACS lens SDSS J0737+3216 - the two lenses are at a common redshift. Danny's lensing galaxy is a large red elliptical, while the lensed source is blue, as expected for lens systems. The identified quad geometry is a typical lens geometry and may be called cusp dominated (e.g. Kochanek 2006), as it occurs when the source lies near to a cusp of the inner caustic.",4.0,0.65,SIE model,,,114.40166699999999,32.261194,Danny
131,SDSS J0820+4847,,,,,,,,,SWELLS,2011-04-29,GAL-GAL,A,"Three  component arc to NE of bulge. Deflector has almost edge-on disk. Bulge is small, suggesting a later type spiral, although spiral arms are not visible due to inclination. Observed with Laser Guide Star Adaptive Optics on the Keck-II 10m Telescope: source appears as two lensed images, possibly indicating that the source has a red bulge and an extended blue disk.",4.0,0.82,SIE model,171.0,9.0,125.05358000000001,48.79363,SDSS J082012.86+484737.1
