ra,dec,Lens Name,zs,zl,RA (J2000),Dec (J2000),E(B-V),ms (mag),ml (mag),FGHz (mJy),Nim,"size ("")",dt (days),sigma (km/s),img_path,Name,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names,isReal,Target
2.01231,-0.06896000000000001,B0739+366,1.14/3.93?,0.59,115.71333333333332,36.57880555555556,0.076,I=25.25/2,I=21.91,F5=25,2,0.53,,,"['B0739H.gif', 'B0739I.gif', 'B0739Icc.gif', 'B0739Hcc.gif']",,,,,,,,,,,,,,,1,1
52.55052,-0.34775,MG2016+112,3.27,1.01,304.82562499999995,11.452305555555554,0.235,I=21.51/3,I=21.95,F5=84.6,2E,3.52,25.0±2.0,304±27,"['MG2016V.gif', 'MG2016I.gif', 'MG2016.gif', 'MG2016H.gif']",,,,,,,,,,,,,,,1,1
148.75,-1.50139,,,,,,,,,,,,,,,SDSS J0008-0004,SLACS,2008-08-01,GAL-GAL,A,Luminous red galaxy lensing three background objects.,3.0,1.16,SIE model,232.0,39.0,2.01231,-0.06896000000000001,,1,1
133.693954,-1.3602999,SDSS0746+4403,2.00,0.573,116.72095833333331,44.064249999999994,0.034,I=18.34/2,I=19.62,,2,1.11,,,,,,,,,,,,,,,,,,1,1
136.03320300000001,-0.9980139000000001,SDSS1001+5027,1.84,0.68,150.36920833333332,50.465805555555555,0.012,I=16.64/2,I=19.63,,2,2.82,821.6±2.1,,"['SDSS1004I.gif', 'SDSS1004Vcc.gif', 'SDSS1004H.gif', 'SDSS1004V.gif', 'SDSS1004Icc.gif', 'SDSS1004Hcc.gif']",,,,,,,,,,,,,,,1,1
248.24033333333333,-0.5558611111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
186.53374999999997,-0.10055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
72.091625,12.465391666666665,,,,,,,,,,,,,,,SL2S J021408-053532,SL2S,2006-06-12,GRP-GAL,A,"The  source has two bright lens components, one of which is lensed into the big arc and its fainter counter-image. The second component forms a double image of smaller magnification. This lens was modeled in Paper I [Gavazzi et al. 2012] with two lens models, each with a different Einstein radii, that match the image configuration. The pixelized source  reconstruction technique adopted in Paper III [Sonnenfeld et al. 2013] to model the lens favors the solution alternative to the one chosen in Paper I.",0.0,1.41,SIE model,289.0,16.0,33.533626,-5.592330400000001,SA22,1,1
125.41291666666666,12.29138888888889,,,,,,,,,,,,,,,SL2S J085447-012137,SL2S,2011-09-08,GRP-GAL,A,From Suyu and Halkola 2010,0.0,5.22,SIE model,,,133.693954,-1.3602999,SA66,1,1
121.59874999999998,20.108861111111114,,,,,,,,,,,,,,,HST J073736.40+321540.3,SLACSextra,2009-05-01,GAL-GAL,A,"Discovered  by its close proximity (separation of 107.9″) to the SLACS lens SDSS J0737+3216 - the two lenses are at a common redshift. Danny's lensing galaxy is a large red elliptical, while the lensed source is blue, as expected for lens systems. The identified quad geometry is a typical lens geometry and may be called cusp dominated (e.g. Kochanek 2006), as it occurs when the source lies near to a cusp of the inner caustic.",4.0,0.65,SIE model,171.0,9.0,114.40166699999999,32.261194,Danny,1,1
