id,ra,dec,cluster
76,247.55375,82.49972222222222,87
77,247.7195833333333,82.50333333333333,88
82,271.9445833333333,45.99888888888889,89
85,293.6289583333333,50.42322222222222,90
86,294.6049583333333,66.8145,91
7,29.672666666666665,-43.417833333333334,92
101,3.595917,-30.352721999999996,93
102,3.6094169999999997,-30.382194000000002,94
107,12.4247466667,-27.874019721999996,95
0,12.424541666666665,-27.873805555555556,95
108,12.6155,-17.66889,96
1,12.615958333333333,-17.66911111111111,96
5,23.648625,-9.517472222222223,97
6,26.318749999999998,-9.754722222222222,98
111,26.73337065,-9.49791496,99
110,30.54375,-11.153244,100
16,78.54491666666665,-33.43958333333333,101
128,104.65791999999999,-55.95,102
96,338.21208333333334,-60.54527777777778,103
90,308.4253333333333,-47.39527777777778,104
89,306.5434583333333,-45.607527777777776,105
84,279.61875,-34.461555555555556,106
95,330.3866666666666,-32.028888888888886,107
9,38.137916666666655,-21.290555555555557,108
12,53.159249999999986,-27.948027777777778,109
125,53.15920799999999,-27.948110999999997,109
118,34.7589417,-8.4929924,110
116,34.21893,-8.22927,111
122,41.64207561,-8.42670704,112
10,41.64212499999999,-8.426722222222221,112
14,69.56208333333332,-12.287333333333333,113
127,69.5615,-12.28722,113
121,36.442207,-7.627366499999999,114
112,32.372207,-6.7197942,115
119,35.463249,-6.7924055999999995,116
113,33.199292,-5.931166999999999,117
114,33.533626,-5.592330400000001,118
117,34.4049225,-5.2248211,119
115,33.5467033,-4.0841055,120
120,36.296005,-4.9092998,121
40,154.35054166666663,-20.783444444444445,122
45,166.63937499999997,-18.356722222222224,123
57,193.27791666666664,-29.241666666666667,124
61,208.93074999999996,-22.95636111111111,125
48,172.96499999999997,-12.5325,126
94,328.031,-27.53061111111111,127
83,278.41641666666663,-21.061027777777777,128
87,301.02945833333325,-13.825194444444444,129
39,153.0654583333333,-3.1172222222222223,130
104,7.2824,-0.93071,131
100,2.01231,-0.06896000000000001,132
124,52.55052,-0.34775,133
143,148.75,-1.50139,134
33,148.75004166666665,-1.5013888888888889,134
134,133.693954,-1.3602999,135
136,136.03320300000001,-0.9980139000000001,136
78,248.24033333333333,-0.5558611111111111,137
55,186.53374999999997,-0.10055555555555556,138
