lens_names,ra,ra_err,dec,dec_err,description
QJ0158-4325,1.19818,0.016,-43.6518,0.006,galaxy
QJ0158-4325,1.44618,0.063,-43.5458,0.065,deflected
RXJ0911+0551,9.19097,,5.84778,,source
RXJ0911+0551,9.45097,0.003,6.25378,0.003,deflected
RXJ0911+0551,9.17297,0.003,6.80778,0.003,deflected
RXJ0911+0551,6.2189700000000006,0.003,6.63978,0.003,deflected
RXJ0911+0551,8.49297,0.004,6.359780000000001,0.005,galaxy
RXJ0911+0551,7.73897,0.039,7.02478,0.011,galaxy deflected
RXJ0921+4529,9.35356,,45.4846,,source
RXJ0921+4529,15.67556,0.005,42.6476,0.004,deflected
RXJ0921+4529,15.57756,0.019,42.8986,0.021,deflected
RXJ0921+4529,12.26156,0.014,44.6036,0.006,galaxy
RXJ0921+4529,12.26156,0.014,44.6036,0.006,galaxy deflected
RXJ1131-1231,12.119,0.003,-11.412500000000001,0.003,deflected
RXJ1131-1231,12.149000000000001,0.003,-10.2255,0.003,deflected
RXJ1131-1231,11.531,,-12.5325,,source
RXJ1131-1231,9.014000000000001,0.003,-10.534500000000001,0.003,deflected
RXJ1131-1231,10.186,0.004,-10.2735,0.004,deflected
RXJ1131-1231,10.087,0.008,-10.826500000000001,0.006,galaxy
RXJ1131-1231,10.087,0.008,-10.826500000000001,0.006,galaxy deflected
RXJ1131-1231,10.548,0.006,-10.9285,0.006,deflected
SBS0909+523,9.21696,,52.9913,,source
SBS0909+523,10.20396,0.003,52.493300000000005,0.003,deflected
SBS0909+523,9.63196,0.125,52.987300000000005,0.081,galaxy
SBS1520+530,15.3625,,52.9135,,source
SBS1520+530,16.7915,0.003,52.2615,0.003,deflected
SBS1520+530,16.503500000000003,0.003,52.518499999999996,0.003,galaxy
SBS1520+530,17.8615,0.004,53.6015,0.003,galaxy deflected
SBS1520+530,20.939500000000002,0.018,48.4865,0.009,galaxy deflected
SBS1520+530,18.7625,0.003,50.2085,0.004,deflected
SBS1520+530,12.8275,0.004,53.7815,0.003,deflected
SDSS0806+2006,8.10658,0.01,20.1089,0.01,deflected
SDSS0806+2006,6.970579999999999,0.007,19.285899999999998,0.007,deflected
SDSS0806+2006,6.970579999999999,0.007,19.285899999999998,0.007,galaxy
SDSS0903+5028,9.0597,,50.472,,source
SDSS0903+5028,6.620699999999999,0.0,49.013,0.0,deflected
SDSS0903+5028,7.069699999999999,0.003,49.767,0.003,galaxy
SDSS0903+5028,7.069699999999999,0.003,49.767,0.003,galaxy deflected
SDSS0903+5028,8.0177,0.003,45.875,0.003,galaxy deflected
SDSS0903+5028,7.9727,0.008,53.779,0.006,deflected
SDSS0903+5028,7.628699999999999,0.003,50.504,0.003,deflected
SDSS0903+5028,7.069699999999999,0.0,49.767,0.0,galaxy deflected
SDSS0924+0219,9.41552,,2.32358,,source
SDSS0924+0219,9.47652,0.003,0.5185800000000003,0.003,deflected
SDSS0924+0219,8.44752,0.003,1.64758,0.003,deflected
SDSS0924+0219,9.95152,0.003,1.8965800000000002,0.003,deflected
SDSS0924+0219,9.23352,0.003,1.4645800000000002,0.003,galaxy
SDSS1004+4112,10.0764,,41.2119,,source
SDSS1004+4112,11.3934,0.003,44.740899999999996,0.003,deflected
SDSS1004+4112,-0.9616000000000007,0.003,36.7329,0.006,deflected
