author,title,discovery,link,id_system,id_ref
Ofek et al. 2006 [ApJ641(2006)70],Spectroscopic Redshifts for Seven Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=236&,108,46
Wisotzki et al. 2004 [A&A419(2004)L31],HE 0047-1756: A new gravitationally lensed double QSO,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=237&,108,47
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,109,48
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=229&,109,49
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=161&,110,50
Hennawi et al. 2008 [AstronJ135(2008)664],A New Survey for Giant Arcs,,http://admin.masterlens.org/citation.php?referenceID=218&,111,51
Estrada et al. 2007 [ApJ660(2007)1176],A Systematic Search for High Surface Brightness Giant Arcs in a Sloan Digital Sky Survey Cluster Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=214&,111,52
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=161&,112,53
Sonnenfeld et al. 2013 [arXiv1307.4759],"The  SL2S Galaxy-scale Lens Sample. IV. The dependence of the total mass density profile of early-type galaxies on redshift, stellar mass, and size",,http://admin.masterlens.org/citation.php?referenceID=4316&,113,54
Sonnenfeld et al. 2013 [arXiv1307.4764],"The SL2S Galaxy-scale Lens Sample. III. Lens Models, Surface Photometry and Stellar Masses for the final sample",Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=4315&,113,55
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,,http://admin.masterlens.org/citation.php?referenceID=161&,114,56
Rogers et al. 2011 [ApJ743(2011)68],Strong Gravitational Lens Modeling with Spatially Variant Point-spread Functions,,http://admin.masterlens.org/citation.php?referenceID=1798&,114,57
Cabanac et al. 2007 [A&A461(2007)813],The CFHTLS strong lensing legacy survey. I. Survey overview and T0002 release sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=360&,114,58
Sonnenfeld et al. 2013 [arXiv1307.4759],"The  SL2S Galaxy-scale Lens Sample. IV. The dependence of the total mass density profile of early-type galaxies on redshift, stellar mass, and size",,http://admin.masterlens.org/citation.php?referenceID=4316&,115,59
Sonnenfeld et al. 2013 [arXiv1307.4764],"The SL2S Galaxy-scale Lens Sample. III. Lens Models, Surface Photometry and Stellar Masses for the final sample",,http://admin.masterlens.org/citation.php?referenceID=4315&,115,60
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,,http://admin.masterlens.org/citation.php?referenceID=161&,115,61
Gavazzi et al. 2012 [ApJ761(2012)170],The  SL2S Galaxy-scale Gravitational Lens Sample. I. The Alignment of Mass and Light in Massive Early-type Galaxies at z = 0.2-0.9,,http://admin.masterlens.org/citation.php?referenceID=4317&,115,62
Ruff et al. 2011 [ApJ727(2011)96],The SL2S Galaxy-scale Lens Sample. II. Cosmic Evolution of Dark and Luminous Mass in Early-type Galaxies,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=158&,115,63
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,116,64
Newton et al. 2009 [ApJ696(2009)1125],Enhanced Lensing Rate by Clustering of Massive Galaxies: Newly Discovered Systems in the Slacs Fields,,http://admin.masterlens.org/citation.php?referenceID=19&,116,65
