bestObjId,z,ra,dec,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z
1237654604784664984,2.214401,150.4418,3.5111187,-0.6856684,1.676152,1.339948,1.107069,0.8557916
1237659120933273680,2.215141,214.7739,52.210578,3.138892,3.255137,3.485679,3.219855,3.165051
1237653613722927345,2.215141,143.26673,55.558716,2.297553,2.125408,1.921264,1.836018,1.173366
1237679435590926666,2.215141,357.08789,-1.9394498,2.767825,5.026057,5.489039,5.773149,7.789904
1237678622767644950,2.215141,7.85492090000002,4.922113,4.03756,6.444954,7.255482,8.29287,12.37096
1237671125375123561,2.216528,143.62111,14.380874,11.34325,14.69135,17.5026,17.9428,21.41623
1237657220414505525,2.216528,169.86989,55.853869,1.228358,2.726034,2.730549,3.818976,5.288099
1237661416064877036,2.216528,211.79385,53.23268,1.495463,1.759966,1.854107,1.747608,1.74971
1237659132744630577,2.216528,214.00673,51.737393,1.839456,2.007772,1.635153,1.538861,0.824885
1237652901822070993,2.220327,0.572542769999984,-9.0937116,1.279926,5.821121,7.019531,8.956491,11.61235
1237668313772458229,2.220327,207.95839,15.137809,5.991843,6.827516,9.102379,10.68311,14.34315
1237662263779983773,2.220327,215.06324,8.8020326,-0.004165985,1.12305,1.24799,1.686645,2.110233
1237668288549355798,2.220327,161.3826,17.827003,5.592821,6.810308,6.954933,7.319484,9.450246
1237680075540660728,2.220327,16.503066,27.489947,2.444923,4.941958,5.806094,6.071193,6.804824
1237680310695625089,2.222553,8.77080039999998,32.068746,3.980596,3.679649,2.521634,2.594177,2.675153
1237662642271027827,2.222553,247.81936,25.604994,4.053922,4.109678,4.701517,4.990921,7.273741
1237678598078202239,2.222553,331.99442,2.9245989,6.938503,9.678636,11.68593,13.46313,17.3478
1237661972251214063,2.222553,166.40244,7.5713327,4.306376,5.564963,6.507157,6.491503,8.085872
1237657629529014499,2.225522,184.13397,52.667967,2.130821,3.540045,5.312442,7.824095,11.51114
1237678619569553501,2.225522,9.70283819999997,3.0861238,23.21355,29.27536,28.82209,31.25706,39.34365
1237667107429548378,2.225522,132.95887,20.510288,13.40211,20.72231,22.82972,24.73792,31.00988
1237668270834581825,2.225522,225.46324,14.506169,2.461749,4.028883,5.671585,7.860699,12.40123
1237662301371892207,2.227008,242.01115,34.608981,1.799164,2.671595,2.843336,2.831317,4.521708
1237678597001380285,2.227008,324.90521,1.8651627,6.912575,10.09214,14.5176,21.04392,30.40545
1237662239088705770,2.227008,212.06993,10.017304,7.67959,7.138405,7.410774,8.885596,12.09095
1237680305331830996,2.227008,355.95418,26.236176,9.686337,14.97614,21.94986,27.96468,39.2016
1237662300822634761,2.227008,208.83858,48.922855,5.083209,7.56852,9.07611,9.177601,11.15834
1237662226223006180,2.227008,208.67153,38.504277,0.9486517,2.699637,3.319665,4.405208,7.184922
1237648720152428883,2.229206,169.63721,-0.86869021,7.829779,7.043007,5.924737,5.841624,6.636694
1237657855537905864,2.229206,186.43337,51.579806,4.031344,4.223715,3.771289,4.719176,6.651814
1237661417675555119,2.229206,212.76083,54.304901,3.964966,5.810112,5.463662,5.373967,6.815535
1237679322325320107,2.229206,36.956113,-4.9904988,2.047903,2.744689,3.667381,4.075965,6.625011
1237679996629811726,2.232213,354.99573,-3.1527348,1.463505,3.290902,3.818764,4.748522,6.040027
1237678906240991606,2.232213,349.23778,9.419606,2.096264,3.955398,3.762258,4.278381,5.258623
1237654610145902882,2.232213,205.59235,63.541355,2.46855,5.775557,10.76107,12.85024,17.1371
1237658801505566970,2.232213,202.13918,53.354948,0.04373451,2.338088,3.017604,3.774343,5.260252
1237658800970072314,2.239664,206.93285,52.178926,9.695913,12.41127,13.14276,12.48069,13.98415
1237664670051926311,2.239664,172.09333,40.531786,1.582393,1.493391,2.025951,2.324708,2.614563
1237657071157510465,2.239664,23.779896,0.39836127,6.665338,10.46978,12.36121,12.9296,16.83091
1237680444908045794,2.239664,329.50045,25.87974,-0.8688488,1.054645,1.287616,1.417454,1.66419
1237680192042173198,2.239664,320.83914,-2.6318281,2.078297,3.570072,4.245425,5.071954,7.334647
1237657632724746665,2.24041,141.55806,47.833556,2.646097,4.725368,4.735008,4.277585,4.795628
1237678906782842911,2.24041,0.732278790000009,10.115592,9.456355,18.4815,25.50699,27.79393,33.54398
0,2.24041,215.26651,52.620148,0.8772977,2.032808,2.545763,2.220029,2.284408
1237680243060244560,2.24041,358.14875,-7.0026454,9.589456,9.540135,13.16295,16.62641,21.50566
1237648702979178883,2.243451,212.49115,-1.1939136,3.786954,4.402102,4.089067,4.368135,7.62257
1237679317479916060,2.243451,2.78814449999999,8.9769586,0.7397465,1.555151,1.827921,2.527944,3.665989
1237664132094558423,2.243451,167.43214,14.544658,9.455381,12.3228,10.69652,10.2581,13.10382
1237680272041050759,2.243451,344.55754,21.00485,0.808526,1.437499,1.91632,2.025252,2.380456
1237668350829200118,2.244143,235.73181,12.309393,1.845179,1.500322,2.833053,3.511851,4.718877
1237651190280815186,2.244143,124.414,45.373813,1.055358,1.269523,1.242302,1.74958,2.499878
1237657628991554091,2.244143,182.07684,52.137271,0.3793785,1.228488,1.422227,1.749891,2.827194
1237661382772916364,2.244143,147.07959,35.602194,6.451903,11.06463,19.35854,24.14005,32.95917
1237668289076920638,2.24489,139.53561,14.133779,1.531785,2.570843,2.95882,3.442799,3.809341
1237651752402485531,2.24489,186.35301,1.2918703,4.477279,6.892742,7.393626,7.903775,11.57963
1237664852575650181,2.24489,228.23201,28.607949,1.662027,2.464734,2.448435,2.77902,4.002031
1237662306203206402,2.24489,246.97626,22.900869,1.304807,1.9972,2.443912,2.781378,4.104982
1237663278461026636,2.24489,351.79135,0.89248376,2.068553,2.582896,2.603624,3.035522,5.037503
1237666214610075927,2.25237,19.037341,21.799402,3.515179,5.12203,5.804871,6.192168,7.545915
1237656495114354962,2.25237,1.61345799999998,14.596887,1.079685,1.587618,1.565381,1.340851,1.295478
1237679502707786158,2.25237,358.84398,19.099155,1.375751,4.33601,4.454962,4.968318,6.018843
