bestObjId,z,ra,dec
1237663783140065378,2.203318,37.444049,-0.65173799
1237679318551625974,2.203318,358.04181,9.8973126
1237680332709036353,2.203318,347.26932,28.96324
1237657628450947243,2.203318,168.65523,50.579396
1237648704045973875,2.204055,196.63687,-0.24241603
1237663457240351495,2.204055,318.83709,-0.23374169
1237668494699594015,2.204055,155.72775,14.732508
1237678907322007800,2.204055,6.0359464,10.614236
1237651271896203372,2.204793,161.1101,64.899057
1237651752918647029,2.204793,139.08945,1.0042864
1237674473291776186,2.204793,174.24983,58.991324
1237679541362229613,2.204793,25.648184,20.346378
1237662225152540773,2.209963,217.29258,35.496348
1237662305656963697,2.209963,225.85811,33.902508
1237666088978743567,2.209963,18.903814,16.540338
1237657857684275495,2.209963,182.34019,53.125843
1237655370358390901,2.209963,168.07275,61.824136
1237663782602998152,2.214401,37.000123,-1.2046184
1237655177081913801,2.214401,135.7996,-1.6144168
1237648703507071284,2.214401,191.95247,-0.69833853
1237654604784664984,2.214401,150.4418,3.5111187
1237653613722927345,2.215141,143.26673,55.558716
1237659120933273680,2.215141,214.7739,52.210578
1237679435590926666,2.215141,357.08789,-1.9394498
1237678622767644950,2.215141,7.85492090000002,4.922113
1237657220414505525,2.216528,169.86989,55.853869
1237661416064877036,2.216528,211.79385,53.23268
1237659132744630577,2.216528,214.00673,51.737393
1237671125375123561,2.216528,143.62111,14.380874
1237680075540660728,2.220327,16.503066,27.489947
1237668313772458229,2.220327,207.95839,15.137809
1237662263779983773,2.220327,215.06324,8.8020326
1237668288549355798,2.220327,161.3826,17.827003
1237652901822070993,2.220327,0.572542769999984,-9.0937116
1237680310695625089,2.222553,8.77080039999998,32.068746
1237662642271027827,2.222553,247.81936,25.604994
1237678598078202239,2.222553,331.99442,2.9245989
1237661972251214063,2.222553,166.40244,7.5713327
1237678619569553501,2.225522,9.70283819999997,3.0861238
1237667107429548378,2.225522,132.95887,20.510288
1237668270834581825,2.225522,225.46324,14.506169
1237657629529014499,2.225522,184.13397,52.667967
1237662301371892207,2.227008,242.01115,34.608981
1237662300822634761,2.227008,208.83858,48.922855
1237662226223006180,2.227008,208.67153,38.504277
1237678597001380285,2.227008,324.90521,1.8651627
1237662239088705770,2.227008,212.06993,10.017304
