SpecObjId,z,ra,dec
1125921941417388032,0.02764709,161.21555,6.5968523
5788337004509896704,0.0276532,318.12575,0.96496893
1070766310889121792,0.02783847,169.74037,58.056554
2514248630819383296,0.02785881,185.56407,28.356617
412226459424286720,0.02835876,262.58929,59.639906
400966631729162240,0.0284276,262.58929,59.639906
1318466770251573248,0.02850778,245.05315,40.15172
8516422733109633024,0.02864736,241.18182,53.254948
591124972924069888,0.02919523,198.2742,1.4655409
1078688842124388352,0.02923287,196.5632,58.959224
591122503485646848,0.02935044,198.2742,1.4655409
513431555163580416,0.02942964,42.303617,-8.2571354
2819285047805241344,0.02948944,174.1224,21.596081
8176527402647658496,0.03005023,71.154341,26.155145
7611190680434483200,0.03012373,195.99791,53.79165
1453552768538142720,0.030168,227.18015,40.931821
1453552768588474368,0.03018187,227.18015,40.931821
692451296917088256,0.0302201,233.96835,57.902639
692458168898316288,0.03022659,233.96835,57.902639
1544847973257603072,0.03034499,189.21325,45.651162
2256414251805599744,0.03037385,182.37155,33.0917
1933261189781940224,0.03039338,225.41167,10.420411
7316193087440527360,0.0306441,358.93433,30.212325
922241806492526592,0.03097322,252.28994,36.223857
1616928382027589632,0.03138351,165.0668,46.270893
1629341869412476928,0.03150504,179.71915,42.570336
2477096133420148736,0.03158603,241.31607,17.707633
667678195079735296,0.03167449,234.66329,2.7235119
2368942396890179584,0.03201681,199.7748,31.148008
3240345229483599872,0.03221662,23.245498,-10.451953
745380134088894464,0.03221914,23.245498,-10.451953
2362298041546860544,0.03226568,174.80798,33.930883
2497335392718579712,0.03240902,171.09952,27.712611
596772339471902720,0.03288136,207.47018,2.0791949
669927520941926400,0.03290141,240.46461,2.8027706
1622591966908803072,0.03297877,171.61972,47.414958
6015748723849535488,0.03303195,157.88033,12.49555
612584144249055232,0.03316471,118.85539,39.186094
2843043576479246336,0.03339824,242.15156,12.330989
2498443150683564032,0.03363333,172.78947,26.226395
2049240430511417344,0.03369032,232.82535,7.4577529
1188968764817827840,0.03376276,244.53907,36.332728
448179936071542784,0.03384342,18.702821,-0.49613431
1243043298910693376,0.03404476,333.54526,-0.46771
1373746091224229888,0.03405293,165.49125,10.29424
2484923551379908608,0.03412635,247.73647,16.832546
8176306675688382464,0.03463853,71.423281,25.479261
9868541668247969792,0.03502135,352.93931,-0.39609008
2822745480692262912,0.03502194,175.22535,23.128989
2437578586710894592,0.03515908,235.67424,22.881493
1963671743369340928,0.03524098,149.98271,13.043827
8176300903654989824,0.03537625,71.499751,24.683402
2839589185839458304,0.03551151,239.17042,12.288338
2273238698705315840,0.03552026,160.33539,31.677539
664408797774637056,0.03553418,227.78415,4.2039596
2064908752024266752,0.03556989,231.06943,4.8552894
1804877526380603392,0.03562488,165.25742,11.046922
1612290366248085504,0.0356506,161.16317,38.759552
1859031228246681600,0.03571216,232.41911,30.485929
2394905165074294784,0.03575682,213.52092,26.560228
663185591055181824,0.03588414,226.48565,3.7073082
1373730972939347968,0.03601862,165.07493,10.049038
1178899711688468480,0.03664102,218.71857,48.661878
1500976355100092416,0.03709324,237.0615,45.007702
5649882102092505088,0.03715419,212.92978,52.276569
2049195900290492416,0.03746348,233.39456,5.2198511
8855448624852606976,0.0377239,6.079566,-1.638201
1318474466832967680,0.03780079,244.9638,40.979787
1542559890029963264,0.03782215,182.359,44.073299
2649375585360439296,0.03783191,157.25679,27.480931
1948963315354986496,0.03787673,244.44015,6.0648683
2248456806328199168,0.03814846,176.12448,36.885735
2064976921745188864,0.03852083,229.46541,5.1077015
2005239334273312768,0.03854058,124.32736,52.029926
523694121819334656,0.03877094,62.371466,-4.4840657
3246025582437230592,0.03888872,230.85177,55.315387
688044999203383296,0.03892251,224.75565,61.231554
472964303926880256,0.0390731,11.830816,14.703501
619392041310251008,0.03919747,129.95687,48.783748
1773468333740419072,0.0392371,246.03908,26.075254
1959124987826694144,0.03947805,140.31485,10.294746
2427578813534726144,0.0397765,229.14356,20.977204
7115698514626060288,0.04001642,242.46747,49.033713
4444057863648681984,0.04027597,234.6154,24.968
854586104655931392,0.04028692,123.21864,38.639966
7313902526452965376,0.04035212,205.29643,30.378151
1488554897514194944,0.04045223,205.54213,56.702854
1544860617641322496,0.0405213,189.65876,45.570687
1437845420804958208,0.04052561,147.74458,37.966353
3347323864689436672,0.04058219,259.41272,32.704313
7195897990187294720,0.04095014,123.8203,46.075246
1194611731305883648,0.04100384,120.68083,31.067593
496598306315593728,0.04102301,123.8203,46.075269
701547001925363712,0.04103752,242.98465,52.188021
1187848087540885504,0.04112531,241.73349,37.321613
854642729504761856,0.04116518,122.00729,38.326482
1424301635567380480,0.04134867,121.6242,24.332134
2663920474039281664,0.0414202,156.52554,21.604897
549483441993836544,0.04151702,154.80239,63.967421
751114362374088704,0.04157457,32.547897,-9.0598701
3321481217731225600,0.04195042,236.01439,4.7687503
737480418172889088,0.04199469,10.65359,-10.822742
2048021902319970304,0.04203439,232.94541,6.3827747
776946290201225216,0.04205885,8.6812956,-0.040748086
441417939627829248,0.0420731,8.6812956,-0.040748086
618289781272504320,0.04208103,130.12464,47.119521
